Day,Month,Year,Hour,Minute,Second,AMPM,Red,IR,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,GSR
17,January,2025,10,06,55,AM,674,832,3664,-1332,16476,229,786,104,2559
17,January,2025,10,06,56,AM,668,842,3724,-1384,16464,190,768,115,2549
17,January,2025,10,06,57,AM,673,842,3668,-1352,16412,196,767,100,2549
17,January,2025,10,06,58,AM,652,815,3712,-1360,16424,222,734,102,2537
17,January,2025,10,06,59,AM,659,866,3688,-1344,16476,191,761,102,2549
17,January,2025,10,07,00,AM,652,855,3752,-1324,16436,189,754,82,2559
17,January,2025,10,07,01,AM,687,842,3712,-1300,16448,204,773,80,2559
17,January,2025,10,07,02,AM,680,815,3764,-1388,16392,211,768,93,2559
17,January,2025,10,07,03,AM,666,844,3692,-1372,16452,195,753,91,2559
17,January,2025,10,07,05,AM,676,838,3664,-1356,16440,202,757,118,2543
17,January,2025,10,07,06,AM,658,852,3488,-1284,15972,173,844,109,2534
17,January,2025,10,07,07,AM,657,836,3648,-1392,16432,231,754,90,2550
17,January,2025,10,07,08,AM,703,890,3704,-1372,16592,221,736,75,2546
17,January,2025,10,07,09,AM,686,789,3724,-1316,16472,195,770,109,2544
17,January,2025,10,07,10,AM,659,821,3720,-1400,16460,183,778,89,2544
17,January,2025,10,07,11,AM,658,762,3696,-1356,16480,210,739,93,2540
17,January,2025,10,07,12,AM,662,828,3720,-1392,16560,206,765,99,2545
17,January,2025,10,07,13,AM,665,817,3700,-1360,16416,203,748,88,2551
17,January,2025,10,07,14,AM,672,854,3716,-1356,16476,225,772,77,2550
17,January,2025,10,07,15,AM,661,822,3716,-1344,16412,221,778,96,2549
17,January,2025,10,07,16,AM,676,850,3740,-1396,16476,212,747,82,2559
17,January,2025,10,07,17,AM,675,835,3720,-1388,16444,196,780,99,2559
17,January,2025,10,07,18,AM,661,817,3724,-1348,16472,213,739,99,2559
17,January,2025,10,07,19,AM,664,853,3740,-1392,16480,200,752,94,2559
17,January,2025,10,07,20,AM,681,856,3728,-1344,16548,218,771,90,2559
17,January,2025,10,07,22,AM,668,897,3720,-1372,16456,219,772,69,2555
17,January,2025,10,07,23,AM,675,829,3672,-1384,16420,230,765,74,2544
17,January,2025,10,07,24,AM,665,804,3668,-1360,16468,203,754,81,2535
17,January,2025,10,07,25,AM,698,834,3704,-1376,16520,206,753,94,2551
17,January,2025,10,07,26,AM,702,1354,3832,-1392,17440,149,1178,-8,2539
17,January,2025,10,07,27,AM,667,1341,3576,-1356,16536,230,674,108,2500
17,January,2025,10,07,28,AM,672,1830,3640,-1404,16512,200,729,93,2512
17,January,2025,10,07,29,AM,676,1610,3712,-1436,16556,214,738,82,2496
17,January,2025,10,07,30,AM,671,846,3708,-1436,16456,197,751,79,2513
17,January,2025,10,07,31,AM,692,884,3708,-1416,16488,210,778,80,2513
17,January,2025,10,07,32,AM,674,857,3668,-1400,16440,210,736,113,2527
17,January,2025,10,07,33,AM,655,845,3648,-1408,16492,204,768,85,2512
17,January,2025,10,07,35,AM,671,828,3712,-1408,16444,186,761,82,2510
17,January,2025,10,07,36,AM,660,828,3600,-1408,16168,179,844,70,2512
17,January,2025,10,07,37,AM,669,823,3588,-1392,16540,195,758,100,2519
17,January,2025,10,07,38,AM,674,820,3576,-1420,16196,217,803,96,2542
17,January,2025,10,07,39,AM,643,828,3620,-1420,16388,223,744,104,2533
17,January,2025,10,07,40,AM,659,842,3596,-1468,16504,215,771,87,2530
17,January,2025,10,07,41,AM,662,835,3592,-1420,16472,212,744,125,2555
17,January,2025,10,07,42,AM,673,827,3616,-1484,16464,225,733,88,2534
17,January,2025,10,07,43,AM,687,827,3560,-1420,16508,198,744,90,2525
17,January,2025,10,07,44,AM,663,859,3620,-1508,16520,205,781,91,2555
17,January,2025,10,07,45,AM,672,851,3660,-1364,16540,201,751,96,2556
17,January,2025,10,07,46,AM,687,862,3588,-1468,16516,215,750,103,2545
17,January,2025,10,07,47,AM,683,849,3556,-1436,16444,209,780,101,2545
17,January,2025,10,07,48,AM,799,1107,5576,4824,14036,23436,-19636,-2942,2543
17,January,2025,10,07,49,AM,725,953,4240,-1012,16348,177,814,80,2534
17,January,2025,10,07,51,AM,687,875,4244,-1076,16396,208,759,94,2542
17,January,2025,10,07,52,AM,669,880,4204,-1108,16348,201,826,71,2529
17,January,2025,10,07,53,AM,648,848,4140,-1096,16428,219,741,103,2543
17,January,2025,10,07,54,AM,679,847,4256,-1084,16384,222,796,86,2539
17,January,2025,10,07,55,AM,658,860,4240,-1324,16896,262,773,24,2524
17,January,2025,10,07,56,AM,641,865,4152,-1136,16396,214,809,97,2544
17,January,2025,10,07,57,AM,689,857,4172,-1128,16356,206,785,88,2531
17,January,2025,10,07,58,AM,679,853,4180,-1100,16328,194,780,97,2535
17,January,2025,10,07,59,AM,663,835,4200,-1124,16360,215,776,108,2547
17,January,2025,10,08,00,AM,669,862,4240,-1120,16408,199,804,98,2542
17,January,2025,10,08,01,AM,655,881,4224,-1160,16344,212,770,71,2559
17,January,2025,10,08,02,AM,679,884,4196,-1080,16340,206,782,112,2559
17,January,2025,10,08,03,AM,693,863,4264,-1112,16344,236,743,87,2542
17,January,2025,10,08,04,AM,702,861,4248,-1132,16408,219,737,79,2539
17,January,2025,10,08,05,AM,705,861,4220,-1144,16320,215,753,91,2530
17,January,2025,10,08,06,AM,666,872,4244,-1152,16412,198,749,76,2544
17,January,2025,10,08,08,AM,675,868,4260,-1088,16280,214,702,100,2527
17,January,2025,10,08,09,AM,665,884,4204,-1092,16420,205,736,100,2538
17,January,2025,10,08,10,AM,668,872,4288,-1108,16324,200,726,65,2538
17,January,2025,10,08,11,AM,695,893,4236,-1136,16400,222,747,97,2538
17,January,2025,10,08,12,AM,680,835,4208,-1148,16360,213,780,90,2240
17,January,2025,10,08,13,AM,669,831,4228,-1100,16384,219,727,89,1534
17,January,2025,10,08,14,AM,685,857,4204,-1044,16376,202,786,95,1325
17,January,2025,10,08,15,AM,667,849,4256,-1132,16352,203,734,110,2192
17,January,2025,10,08,16,AM,653,862,4248,-1132,16356,208,734,96,1264
17,January,2025,10,08,17,AM,687,871,4264,-1108,16356,212,744,81,1270
17,January,2025,10,08,18,AM,690,839,4236,-1216,16372,211,804,59,1437
17,January,2025,10,08,19,AM,666,874,4208,-1104,16396,206,726,89,1599
17,January,2025,10,08,20,AM,673,864,4220,-1112,16376,200,785,73,1685
17,January,2025,10,08,21,AM,677,871,4256,-1132,16352,201,769,85,1856
17,January,2025,10,08,22,AM,683,856,4316,-1172,16380,227,744,57,1840
17,January,2025,10,08,23,AM,678,868,4260,-1136,16404,212,765,102,1921
17,January,2025,10,08,25,AM,670,842,4148,-1124,16396,211,786,102,1886
17,January,2025,10,08,26,AM,671,847,4176,-1112,16296,205,833,77,1887
17,January,2025,10,08,27,AM,670,873,4224,-1008,16356,182,684,95,1911
17,January,2025,10,08,28,AM,674,846,4228,-1124,16360,201,765,80,2047
17,January,2025,10,08,29,AM,671,859,4200,-1176,16264,204,776,72,2013
17,January,2025,10,08,30,AM,668,863,4204,-1120,16356,208,778,95,2027
17,January,2025,10,08,31,AM,698,925,4176,-1172,16360,205,782,76,1955
17,January,2025,10,08,32,AM,674,868,4280,-1116,16444,200,803,70,2014
